adda	a tː a
fullyrða	f ʏ t l ɪ r ð a
fullyrðing	f ʏ t l ɪ r ð i ŋ k
funda	f ʏ n t a
fundur	f ʏ n t ʏ r
furða	f ʏ r ð a
fylgd	f ɪ l t
fylgi	f ɪ l c ɪ
fylgifiskur	f ɪ l c ɪ f ɪ s k ʏ r
fylgirit	f ɪ l c ɪ r ɪː t
fylgja	f ɪ l c a
fylja	f ɪ l j a
fylki	f ɪ l̥ c ɪ
fyllilega	f ɪ t l ɪ l ɛː ɣ a
fyrirlestur	f ɪː r ɪ r l ɛ s t ʏ r
fyrirsæta	f ɪː r ɪ r s a iː t a
fyrstur	f ɪ r̥ s t ʏ r
fá	f a uː
fágaður	f a uː a ð ʏ r
fálki	f a u l̥ c ɪ
fána	f a uː n a
fáni	f a uː n ɪ
fár	f a uː r
fáránlegur	f a uː r a u n l ɛː ɣ ʏ r
fátækt	f a uː tʰ a i x t
fátækur	f a uː tʰ a iː k ʏ r
fáviti	f a uː v ɪː t ɪ
fæ	f a iː
fæla	f a iː l a
fælni	f a i l n ɪ
færa	f a iː r a
færeyska	f a iː r e i s k a
færi	f a iː r ɪ
færni	f a i r t n ɪ
fæðing	f a iː ð i ŋ k
fé	f j ɛː
fífl	f i p l
fíkn	f i h k n
fínn	f i t n
fólk	f o u l̥ k
fórnarlamb	f o u r t n a r l a m p
fóstri	f o u s t r ɪ
fóstur	f o u s t ʏ r
fótbolti	f o uː t p ɔ l̥ t ɪ
föl	f œː l
fölur	f œː l ʏ r
föndur	f œ n t ʏ r
fönix	f œː n ɪ x s
för	f œː r
förðun	f œ r ð ʏ n
föstudagur	f œ s tʰ ʏ t aː ɣ ʏ r
föt	f œː t
föðurbróðir	f œː ð ʏ r p r o uː ð ɪ r
föðursystir	f œː ð ʏ r s ɪ s t ɪ r
fúll	f u t l
fús	f uː s
gaffall	k a fː a t l
gagn	k a k n
gagnagrunnur	k a k n a k r ʏ nː ʏ r
gagnsemi	k a k n s ɛː m ɪ
gallabuxur	k a lː a p ʏ x s ʏ r
gallalaus	k a t l a l ø yː s
galílea	k aː l iː l ɛː a
gaman	k aː m aː n
gamansemi	k aː m a n s ɛː m ɪ
ganga	k a u ŋ k a
gangbraut	k a u ŋ k p r ø yː t
gangur	k a u ŋ k ʏ r
garg	k a r k
garn	k a r t n
garðar	k a r ð a r
garðrækt	k a r ð r a i x t
garður	k a r ð ʏ r
garðyrkja	k a r ð ɪ r̥ c a
gat	k aː t
gata	k aː t a
gaur	k ø yː r
gautaborg	k ø yː t a p ɔ r k
gauti	k ø yː t ɪ
gefa	c ɛː v a
gegna	c ɛ k n a
geir	k e iː r
geirfugl	c e i r f ʏ k l
geiri	c e iː r ɪ
geisa	c e iː s a
geisladiskur	c e i s t l a t ɪ s k ʏ r
gel	c ɛː l
gelta	c ɛ l̥ t a
gengi	c e i ɲ c ɪ
gengismunur	c e i ɲ c ɪ s m ʏː n ʏ r
gengur	c e i ŋ k ʏ r
gera	c ɛː r a
gervi	c ɛ r v ɪ
gervigras	c ɛ r v ɪ k r aː s
gervitungl	c ɛ r v ɪ tʰ u ŋ l
gerð	c ɛ r ð
gerði	c ɛ r ð ɪ
gestgjafi	c ɛ s t c aː v ɪ
gestur	c ɛ s t ʏ r
geta	c ɛː t a
geðlæknir	c ɛ ð l a i h k n ɪ r
geðveikur	c ɛ ð v e iː k ʏ r
gifs	c ɪ f s
gifta	c ɪ f t a
gigt	c ɪ x t
gildi	c ɪ l t ɪ
gildur	c ɪ l t ʏ r
gilitrutt	c ɪː l ɪ tʰ r ʏ h t
gimsteinn	c ɪ m s t e i t n
girða	c ɪ r ð a
girðing	c ɪ r ð i ŋ k
giska	c ɪ s k a
gista	c ɪ s t a
gisti	c ɪ s t ɪ
gistihús	c ɪ s t ɪ h uː s
gjald	c a l t
gjalda	c a l t a
gjaldmiðill	c a l t m ɪː ð ɪ t l
gjaldþrot	c a l t θ r ɔː t
gjarn	c a r t n
gjá	c a uː
gjóla	c o uː l a
gjöf	c œː v
gjögur	c œː ɣ ʏ r
glas	k l aː s
glata	k l aː t a
glaður	k l aː ð ʏ r
gler	k l ɛː r
gleraugu	k l ɛː r ø yː ɣ ʏ
gleði	k l ɛː ð ɪ
gljúfur	k l j uː v ʏ r
glott	k l ɔ h t
gluggi	k l ʏ cː ɪ
glundur	k l ʏ n t ʏ r
glymur	k l ɪː m ʏ r
glápa	k l a uː p a
glæpamaður	k l a iː p a m aː ð ʏ r
glæpur	k l a iː p ʏ r
glær	k l a iː r
glæra	k l a iː r a
glæta	k l a iː t a
glæða	k l a iː ð a
glíma	k l iː m a
glódís	k l o uː t iː s
glóð	k l o uː ð
glötun	k l œː t ʏ n
golf	k ɔ l v
gormur	k ɔ r m ʏ r
gos	k ɔː s
gosi	k ɔː s ɪ
gott	k ɔ h t
grafa	k r aː v a
grallari	k r a t l aː r ɪ
gramm	k r a mː
graslendi	k r aː s l ɛ n t ɪ
grautur	k r ø yː t ʏ r
grein	k r e iː n
greina	k r e iː n a
greinargerð	k r e iː n a r c ɛ r ð
greind	k r e i n t
greinilega	k r e iː n ɪ l ɛː ɣ a
greining	k r e iː n i ŋ k
greinir	k r e iː n ɪ r
greip	k r e iː p
greiða	k r e iː ð a
greiðsla	k r e i ð s t l a
greiðslukort	k r e i ð s t l ʏ kʰ ɔ r̥ t
greni	k r ɛː n ɪ
grenja	k r ɛ n j a
grennd	k r ɛ n t
grikkland	k r ɪ h k l a n t
grind	k r ɪ n t
grugg	k r ʏ kː
grund	k r ʏ n t
grunnskóli	k r ʏ nː s k o uː l ɪ
grunnur	k r ʏ nː ʏ r
grunur	k r ʏː n ʏ r
grá	k r a uː
grágæs	k r a uː c a iː s
grár	k r a uː r
gráta	k r a uː t a
gráða	k r a uː ð a
grænmeti	k r a i n m ɛː t ɪ
grænn	k r a i t n
græðgi	k r a i ð c ɪ
gríma	k r iː m a
grímur	k r iː m ʏ r
grín	k r iː n
grípa	k r iː p a
gró	k r o uː
gróf	k r o uː v
gróði	k r o uː ð ɪ
gróður	k r o uː ð ʏ r
gróðurhús	k r o uː ð ʏ r h uː s
gröf	k r œː v
grön	k r œː n
grýla	k r iː l a
grýta	k r iː t a
gufa	k ʏː v a
gula	k ʏː l a
gull	k ʏ t l
gullkorn	k ʏ t l kʰ ɔ r t n
gulur	k ʏː l ʏ r
gulvíðir	k ʏ l v iː ð ɪ r
gum	k ʏː m
gunnþórunn	k ʏ n θ o uː r ʏ nː
gustur	k ʏ s t ʏ r
guðbjörg	k v ʏ ð p j œ r k
guðfræði	k v ʏ ð f r a iː ð ɪ
guðlast	k v ʏ ð l a s t
guðlaugur	k v ʏ ð l ø yː ɣ ʏ r
guðleysi	k v ʏ ð l e iː s ɪ
guðleysingi	k v ʏ ð l e iː s i ɲ c ɪ
guðmundur	k v ʏ ð m ʏ n t ʏ r
guðríður	k v ʏ ð r iː ð ʏ r
guðspjall	k v ʏ ð s p j a t l
gá	k a uː
gáleysi	k a uː l e iː s ɪ
gáski	k a u s c ɪ
gáta	k a uː t a
gátt	k a u h t
gæludýr	c a iː l ʏ t iː r
gæsahúð	c a iː s a h uː ð
gæta	c a iː t a
gætt	k a ɪ h t
gæði	c a iː ð ɪ
gígja	c iː j a
gíslína	c i s t l iː n a
gítar	c iː tʰ aː r
góa	k o uː a
gólf	k o u l v
gómsætur	k o u m s a iː t ʏ r
góður	k o uː ð ʏ r
góðæri	k o uː ð a iː r ɪ
göng	k ø y ŋ k
gönguferð	k ø y ŋ k ʏ f ɛ r ð
göngutúr	k ø y ŋ k ʏ tʰ uː r
gúrkutíð	k u r̥ k ʏ tʰ iː ð
gýgur	c iː ɣ ʏ r
ha	h aː
haarde	h ɔ r t ɛː
hadda	h a tː a
hafdís	h a v t iː s
hafna	h a p n a
hafragrautur	h a v r a k r ø yː t ʏ r
haga	h aː ɣ a
hagfræði	h a x f r a iː ð ɪ
hagl	h a k l
haglabyssa	h a k l a p ɪ sː a
hagnaður	h a k n a ð ʏ r
hagsæld	h a x s a i l t
hagur	h aː ɣ ʏ r
hakka	h a k k a
hald	h a l t
halda	h a l t a
halla	h a t l a
halldór	h a l t o uː r
hallgerður	h a t l c ɛ r ð ʏ r
halli	h a t l ɪ
hallur	h a t l ʏ r
hamar	h aː m a r
hamingjusamur	h aː m i ɲ c ʏ s aː m ʏ r
hamra	h a m r a
hamstur	h a m s t ʏ r
handa	h a n t a
handbremsa	h a n t p r ɛ m s a
handbók	h a n t p o uː k
handklæði	h a n t kʰ l a iː ð ɪ
handleggur	h a n t l ɛ kː ʏ r
handrit	h a n t r ɪː t
handrið	h a n t r ɪː ð
handsnyrting	h a n t s t n ɪ r̥ t i ŋ k
hanga	h a u ŋ k a
hangikjöt	h a u ŋ c ɪ cʰ œː t
hanki	h a u ɲ̊ c ɪ
hansen	h a n s ɛ nː
haraldur	h aː r a l t ʏ r
harka	h a r̥ k a
harpa	h a r̥ p a
harðlífi	h a r ð l iː v ɪ
harður	h a r ð ʏ r
haukur	h ø yː k ʏ r
haus	h ø yː s
hefja	h ɛ v j a
hefnd	h ɛ m t
hefta	h ɛ f t a
hefti	h ɛ f t ɪ
hefð	h ɛ v ð
hegða	h ɛ ɣ ð a
hegðun	h ɛ ɣ ð ʏ n
heilbrigði	h e i l p r ɪ ɣ ð ɪ
heilbrigður	h e i l p r ɪ ɣ ð ʏ r
heild	h e i l t
heili	h e iː l ɪ
heilla	h e i t l a
heimavinna	h e iː m a v ɪ nː a
heimboð	h e i m p ɔː ð
heimferð	h e i m f ɛ r ð
heimild	h e iː m ɪ l t
heimilisfang	h e iː m ɪ l ɪ s f a u ŋ k
heimspeki	h e i m s p ɛː c ɪ
heimspekingur	h e i m s p ɛː c i ŋ k ʏ r
heimsvaldastefna	h e i m s v a l t a s t ɛ p n a
heimta	h e i m̥ t a
heit	h e iː t
heita	h e iː t a
heiti	h e iː t ɪ
heitur	h e iː t ʏ r
heiðagæs	h e iː ð a c a iː s
heiðarlegur	h e iː ð a r l ɛː ɣ ʏ r
heiðarleiki	h e iː ð a r l e iː c ɪ
heiðni	h e i ð n ɪ
hekla	h ɛ h k l a
held	h ɛ l t
helgarferð	h ɛ l k a r f ɛ r ð
helgi	h ɛ l c ɪ
hellingur	h ɛ t l i ŋ k ʏ r
helluhraun	h ɛ t l ʏ r̥ ø yː n
helvíti	h ɛ l v iː t ɪ
hem	h ɛː m
henda	h ɛ n t a
hengi	h e i ɲ c ɪ
hengja	h e i ɲ c a
heppni	h ɛ h p n ɪ
herbergi	h ɛ r p ɛ r c ɪ
herdís	h ɛ r t iː s
hermaður	h ɛ r m aː ð ʏ r
herra	h ɛ rː a
hertogi	h ɛ r̥ tʰ ɔ j ɪ
herðablað	h ɛ r ð a p l aː ð
hespa	h ɛ s p a
hetja	h ɛː t j a
hettupeysa	h ɛ h t ʏ pʰ e iː s a
hey	h e iː
heyja	h e iː j a
heyrn	h e i r t n
heyrnarlaus	h e i r t n a r l ø yː s
heyrnartól	h e i r t n a r tʰ o uː l
hik	h ɪː k
hika	h ɪː k a
hildigunnur	h ɪ l t ɪ k ʏ nː ʏ r
hindra	h ɪ n t r a
hindrun	h ɪ n t r ʏ n
hinn	h ɪ nː
hirð	h ɪ r ð
hirða	h ɪ r ð a
hirðir	h ɪ r ð ɪ r
hissa	h ɪ sː a
hita	h ɪː t a
hiti	h ɪː t ɪ
hittni	h ɪ h t n ɪ
hjal	ç aː l
hjalli	ç a t l ɪ
hjaltalín	ç a l̥ t a l iː n
hjarta	ç a r̥ t a
hjá	ç a uː
hjáleið	ç a uː l e iː ð
hjálmar	ç a u l m a r
hjálp	ç a u l̥ p
hjálpa	ç a u l̥ p a
hjálpari	ç a u l̥ p a r ɪ
hjólabretti	ç o uː l a p r ɛ h t ɪ
hjólbörur	ç o uː l p œː r ʏ r
hjóm	ç o uː m
hjón	ç o uː n
hjónaband	ç o uː n a p a n t
hjörtur	ç œ r̥ t ʏ r
hjörð	ç œ r ð
hjúkra	ç uː k r a
hjúkrun	ç uː k r ʏ n
hjúkrunarheimili	ç uː k r ʏ n a r h e iː m ɪ l ɪ
hjúkrunarkona	ç uː k r ʏ n a r kʰ ɔː n a
hjúpa	ç uː p a
hlaup	l̥ ø yː p
hlaupa	l̥ ø yː p a
hlað	l̥ aː ð
hlaða	l̥ aː ð a
hlaði	l̥ aː ð ɪ
hlekkur	l̥ ɛ h k ʏ r
hleri	l̥ ɛː r ɪ
hleypa	l̥ e iː p a
hlið	l̥ ɪː ð
hljóma	l̥ j o uː m a
hljómur	l̥ j o uː m ʏ r
hljóta	l̥ j o uː t a
hljóð	l̥ j o uː ð
hljóða	l̥ j o uː ð a
hljóðbók	l̥ o u ð p o uː k
hljóðfæri	l̥ j o u ð f a iː r ɪ
hlust	l̥ ʏ s t
hluti	l̥ ʏː t ɪ
hlutur	l̥ ʏː t ʏ r
hlutverk	l̥ ʏː t v ɛ r̥ k
hlægja	l̥ a iː j a
hlæja	l̥ a iː j a
hlé	l̥ j ɛː
hlésey	l̥ j ɛː s e iː
hlíf	l̥ iː v
hlífa	l̥ iː v a
hlíta	l̥ iː t a
hlíð	l̥ iː ð
hlýja	l̥ iː j a
hlýna	l̥ iː n a
hlýri	l̥ iː r ɪ
hlýða	l̥ iː ð a
hlýðni	l̥ i ð n ɪ
hnappur	n̥ a h p ʏ r
hnaus	n̥ ø yː s
hnefi	n̥ ɛː v ɪ
hneigð	n̥ e i ɣ ð
hneta	n̥ ɛː t a
hnetusmjör	n̥ ɛː t ʏ s m j œː r
hnoða	n̥ ɔː ð a
hnoðri	n̥ ɔ ð r ɪ
hnupl	n̥ ʏ h p l
hné	n̥ j ɛː
hnífasmiður	n̥ iː v a s m ɪː ð ʏ r
hnýta	n̥ iː t a
hobbiti	h ɔ pː ɪː t ɪ
hof	h ɔː v
hola	h ɔː l a
holdsveiki	h ɔ l t s v e iː c ɪ
holland	h ɔ l l a n t
hollur	h ɔ t l ʏ r
holt	h ɔ l̥ t
holur	h ɔː l ʏ r
hommi	h ɔ mː ɪ
hopp	h ɔ h p
hoppa	h ɔ h p a
horfa	h ɔ r v a
horfur	h ɔ r v ʏ r
hormón	h ɔ r m o uː n
horn	h ɔ r t n
hrafn	r̥ a p n
hraukur	r̥ ø yː k ʏ r
hraustur	r̥ ø y s t ʏ r
hraða	r̥ aː ð a
hraðbraut	r̥ a ð p r ø yː t
hraði	r̥ aː ð ɪ
hreindýr	r̥ e i n t iː r
hreinlæti	r̥ e i n l a iː t ɪ
hreinskilinn	r̥ e i n s c ɪː l ɪ nː
hreinsun	r̥ e i n s ʏ n
hreiður	r̥ e iː ð ʏ r
hrekja	r̥ ɛː c a
hrekkjalómur	r̥ ɛ h c a l o uː m ʏ r
hrella	r̥ ɛ t l a
hreyfing	r̥ e iː v i ŋ k
hringja	r̥ i ɲ c a
hringlaga	r̥ i ŋ k l aː ɣ a
hringtorg	r̥ i ŋ k tʰ ɔ r k
hrjúfur	r̥ j uː v ʏ r
hrogn	r̥ ɔ k n
hroki	r̥ ɔː c ɪ
hrollur	r̥ ɔ t l ʏ r
hross	r̥ ɔ sː
hrossakjöt	r̥ ɔ sː a cʰ œː t
hrufla	r̥ ʏ p l a
hrun	r̥ ʏː n
hrygna	r̥ ɪ k n a
hryndi	r̥ ɪ n t ɪ
hrynja	r̥ ɪ n j a
hrynji	r̥ ɪ n j ɪ
hryssa	r̥ ɪ sː a
hryðjuverk	r̥ ɪ ð j ʏ v ɛ r̥ k
hryðjuverkamaður	r̥ ɪ ð j ʏ v ɛ r̥ k a m aː ð ʏ r
hræ	r̥ a iː
hrækja	r̥ a iː c a
hræra	r̥ a iː r a
hræsnari	r̥ a i s t n a r ɪ
hræðilega	r̥ a iː ð ɪ l ɛː ɣ a
hrífa	r̥ iː v a
hrísgrjón	r̥ iː s k r j o uː n
hrólfur	r̥ o u l v ʏ r
hrökkva	r̥ œ h k v a
hrönn	r̥ œ nː
hrúga	r̥ uː a
huggun	h ʏ kː ʏ n
hugi	h ʏː j ɪ
hugmynd	h ʏ ɣ m ɪ n t
hugmyndafræði	h ʏ ɣ m ɪ n t a f r a iː ð ɪ
hugsa	h ʏ x s a
hugsanlegur	h ʏ x s a n l ɛː ɣ ʏ r
hugsjónamaður	h ʏ x s j o uː n a m aː ð ʏ r
hugur	h ʏː ɣ ʏ r
hulda	h ʏ l t a
humar	h ʏː m a r
hunang	h ʏː n a u ŋ k
hundrað	h ʏ n t r aː ð
hungur	h u ŋ k ʏ r
hurð	h ʏ r ð
hvalaskoðun	kʰ v aː l a s k ɔː ð ʏ n
hvalkjöt	xʷ a l cʰ œː t
hvati	kʰ v aː t ɪ
hverfa	kʰ v ɛ r v a
hvergi	kʰ v ɛ r c ɪ
hvolf	kʰ v ɔ l v
hvá	xʷ a uː
hvíla	kʰ v iː l a
hvíld	xʷ i l t
hvína	xʷ iː n a
hvítabjörn	xʷ iː t a p j œ r t n
hvítkál	xʷ iː t kʰ a uː l
hvítvín	xʷ iː t v iː n
hvörf	kʰ v œ r v
hyggja	h ɪ cː a
hylja	h ɪ l j a
hylki	h ɪ l̥ c ɪ
hylla	h ɪ t l a
hylli	h ɪ t l ɪ
hylur	h ɪː l ʏ r
há	h a uː
háaloft	h a uː a l ɔ f t
hádegi	h a uː t e iː j ɪ
hádegisverður	h a uː t e iː j ɪ s v ɛ r ð ʏ r
hálendi	h a uː l ɛ n t ɪ
hálfkák	h a u l v kʰ a uː k
hálfleikur	h a u l v l e iː k ʏ r
hálfur	h a u l v ʏ r
háls	h a u l s
hámark	h a uː m a r̥ k
hárbursti	h a u r p ʏ r̥ s t ɪ
hás	h a uː s
háskóli	h a uː s k o uː l ɪ
háttaratviksorð	h a u h t a r aː t v ɪ k s ɔ r ð
hátterni	h a u h t ɛ r t n ɪ
háttur	h a u h t ʏ r
hátíð	h a uː tʰ iː ð
hávaði	h a uː v aː ð ɪ
háþrýstingur	h a uː θ r i s t i ŋ k ʏ r
hæ	h a iː
hæfa	h a iː v a
hægur	h a iː ɣ ʏ r
hækja	h a iː c a
hækka	h a i h k a
hækkun	h a i h k ʏ n
hæna	h a iː n a
hæstiréttur	h a i s t ɪ r j ɛ h t ʏ r
hætta	h a i h t a
hættulegur	h a i h t ʏ l ɛː ɣ ʏ r
hæð	h a iː ð
hæða	h a iː ð a
hér	ç ɛː r
hérna	ç ɛ r t n a
héðan	ç ɛː ð a n
héðinn	ç ɛː ð ɪ nː
híbýli	h iː p iː l ɪ
hóf	h o uː v
hólf	h o u l v
hóll	h o u t l
hólmfríður	h o u l m f r iː ð ʏ r
hópur	h o uː p ʏ r
hór	h o uː r
hósti	h o u s t ɪ
hóta	h o uː t a
hótel	h o uː t ɛ l
höfn	h œ p n
höfnun	h œ p n ʏ n
höfrungur	h œ v r u ŋ k ʏ r
höfuð	h œː v ʏ θ
höfuðborg	h œː v ʏ ð p ɔ r k
höfuðborgarsvæðið	h œː v ʏ θ p ɔ r k a r s v a iː ð ɪ ð
höfði	h œ v ð ɪ
höfðingi	h œ v ð i ɲ c ɪ
höggva	h œ kː v a
hönd	h œ n t
hönnun	h œ nː ʏ n
hörfræ	h œ r f r a iː
hörund	h œː r ʏ n t
hús	h uː s
húsbóndi	h u s p o u n t ɪ
húsfreyja	h uː s f r e iː j a
húsnæði	h uː s n a iː ð ɪ
húð	h uː ð
húðflúr	h u ð f l uː r
hýjungur	h iː j u ŋ k ʏ r
igla	ɪ k l a
il	ɪː l
ildi	ɪ l t ɪ
illgresi	ɪ t l k r ɛː s ɪ
ilma	ɪ l m a
ilmur	ɪ l m ʏ r
ilmvatn	ɪ l m v a h t n
indland	ɪ n t l a n t
indriðason	ɪ n t r ɪː ð a s ɔː n
indæll	ɪ n t a i t l
ingi	i ɲ c ɪ
ingibjörg	i ɲ c ɪ p j œ r k
ingunn	i ŋ k ʏ nː
ingvarsson	i ŋ k v a r̥ s s ɔː n
ingólfur	i ŋ k o u l v ʏ r
innan	ɪ nː a n
innbrot	ɪ nː p r ɔː t
innganga	ɪ nː k a u ŋ k a
inngrip	ɪ nː k r ɪː p
innheimta	ɪ nː h e i m̥ t a
innihald	ɪ nː ɪ h a l t
innkaup	ɪ nː kʰ ø yː p
innrita	ɪ nː r ɪː t a
innritun	ɪ nː r ɪː t ʏ n
innræting	ɪ nː r a iː t i ŋ k
internet	ɪ n̥ t ɛ r n ɛː t
ið	ɪː ð
iða	ɪː ð a
iðja	ɪ ð j a
iðnaður	ɪ ð n aː ð ʏ r
iðngrein	ɪ ð n k r e iː n
iðunn	ɪː ð ʏ nː
jafn	j a p n
jafntefli	j a p n tʰ ɛ p l ɪ
jafnvægi	j a p n v a iː j ɪ
jakki	j a h c ɪ
jakobsfífill	j aː kʰ ɔ p s f iː v ɪ t l
jakobína	j aː kʰ ɔː p iː n a
jana	j aː n a
janúar	j aː n uː aː r
japanska	j aː pʰ a n s k a
jarl	j a r t l
jarma	j a r m a
jarðarber	j a r ð a r p ɛː r
jarðarför	j a r ð a r f œː r
jarðfræði	j a r ð f r a iː ð ɪ
jarðhiti	j a r ð h ɪː t ɪ
jarðskjálfti	j a r ð s c a u l̥ t ɪ
jarðsprengja	j a r ð s p r e i ɲ c a
jarðvegur	j a r ð v ɛː ɣ ʏ r
jensen	j ɛ n s ɛ nː
jeppi	j ɛ h p ɪ
jerúsalem	j ɛː r uː s aː l ɛː m
jess	j ɛ sː
jesús	j ɛː s uː s
johnsen	j o u n s ɛː nː
joð	j ɔː ð
jurt	j ʏ r̥ t
jáeind	j a uː e i n t
járnbrautarlest	j a u r t n p r ø yː t a r l ɛ s t
járnsmiður	j a u r t n s m ɪː ð ʏ r
játa	j a uː t a
jæja	j a iː j a
jóakim	j o uː a cʰ ɪ m
jóhann	j o uː h a nː
jóhanna	j o uː h a nː a
jóhannes	j o uː h a nː ɛː s
jól	j o uː l
jólagjöf	j o uː l a c œː v
jón	j o uː n
jóna	j o uː n a
jónas	j o uː n aː s
jónatan	j o uː n a tʰ aː n
jónína	j o uː n iː n a
jórunn	j o uː r ʏ nː
jöfnun	j œ p n ʏ n
jökull	j œː k ʏ t l
jötunn	j œː tʰ ʏ nː
jú	j uː
júlíus	j uː l iː j ʏ s
júní	j uː n iː
kafa	kʰ aː v a
kaffihús	kʰ a fː ɪ h uː s
kafli	kʰ a p l ɪ
kafna	kʰ a p n a
kaka	kʰ aː k a
kaldi	kʰ a l t ɪ
kaldur	kʰ a l t ʏ r
kalk	kʰ a l̥ k
kalksteinn	kʰ a l̥ k s t e i t n
kall	kʰ a t l
kalla	kʰ a t l a
kambur	kʰ a m p ʏ r
kampavín	kʰ a m̥ p a v iː n
kampur	kʰ a m̥ p ʏ r
kanada	kʰ aː n aː t a
kapp	kʰ a h p
kappi	kʰ a h p ɪ
kapítuli	kʰ aː p i tʰ ʏː l ɪ
karakter	kʰ a r a x t ɛː r
karamella	kʰ aː r a m ɛ lː a
karate	kʰ aː r a t ɛː
karli	kʰ a r t l ɪ
karma	kʰ a r m a
karpa	kʰ a r̥ p a
kasta	kʰ a s t a
katrín	kʰ aː t r iː n
kaup	kʰ ø yː p
kaupa	kʰ ø yː p a
kaupmaður	kʰ ø y p m aː ð ʏ r
kaðlín	kʰ a ð l iː n
kaþólskur	k aː θ o u l s k ʏ r
kenna	cʰ ɛ nː a
kennari	cʰ ɛ nː aː r ɪ
kennd	cʰ ɛ n t
keppa	cʰ ɛ h p a
keppni	cʰ ɛ h p n ɪ
kerfi	cʰ ɛ r v ɪ
kerti	cʰ ɛ r̥ t ɪ
ket	cʰ ɛː t
ketill	cʰ ɛː t ɪ t l
keyra	cʰ e iː r a
kiljan	cʰ ɪ l j a n
kind	cʰ ɪ n t
kindakjöt	cʰ ɪ n t a cʰ œː t
kippa	cʰ ɪ h p a
kirkja	cʰ ɪ r̥ c a
kitla	cʰ ɪ h t l a
kjaftur	cʰ a f t ʏ r
kjallari	cʰ a t l aː r ɪ
kjarkur	cʰ a r̥ k ʏ r
kjarni	cʰ a r t n ɪ
kjartan	cʰ a r̥ t a n
kjassa	cʰ a sː a
kjáni	cʰ a uː n ɪ
kjóll	cʰ o u t l
kjósa	cʰ o uː s a
kjölfar	cʰ œ l f aː r
kjör	cʰ œː r
kjörlendi	cʰ œ r l ɛ n t ɪ
kjörskrá	cʰ œ r s k r a uː
kjöt	kʰ j œː t
kjúklingur	cʰ u h k l i ŋ k ʏ r
klapp	kʰ l a h p
klara	kʰ l aː r a
klauf	kʰ l ø yː v
klaustur	kʰ l ø y s t ʏ r
kleif	kʰ l e iː v
klekkja	kʰ l ɛ h c a
klemma	kʰ l ɛ mː a
klerkur	kʰ l ɛ r̥ k ʏ r
klipping	kʰ l ɪ h p i ŋ k
klippur	kʰ l ɪ h p ʏ r
klisja	kʰ l ɪː s j a
kljúfa	kʰ l j uː v a
klof	kʰ l ɔː v
klossi	kʰ l ɔ sː ɪ
klukka	kʰ l ʏ h k a
klukkustund	kʰ l ʏ h k ʏ s t ʏ n t
klukkutími	kʰ l ʏ h k ʏ tʰ iː m ɪ
klumpur	kʰ l ʏ m̥ p ʏ r
klám	kʰ l a uː m
klæða	kʰ l a iː ð a
klæðnaður	kʰ l a i ð n aː ð ʏ r
klífa	kʰ l iː v a
klíka	kʰ l iː k a
klína	kʰ l iː n a
klóra	kʰ l o uː r a
klósett	kʰ l o uː s ɛ h t
klósettpappír	kʰ l o uː s ɛ h t pʰ a h p iː r
klöpp	kʰ l œ h p
klúbbur	kʰ l u pː ʏ r
klúðra	kʰ l u ð r a
klúður	kʰ l uː ð ʏ r
knapi	kʰ n aː p ɪ
knattspyrna	kʰ n a h t s p ɪ r t n a
kné	kʰ n j ɛː
knús	kʰ n uː s
knútur	kʰ n uː t ʏ r
knýja	kʰ n iː j a
koddaver	kʰ ɔ tː a v ɛː r
koffín	kʰ ɔ fː iː n
kokka	kʰ ɔ h k a
kokkur	kʰ ɔ h k ʏ r
kol	kʰ ɔː l
kolefni	kʰ ɔː l ɛ p n ɪ
kolla	kʰ ɔ t l a
kolvetni	kʰ ɔ l v ɛ h t n ɪ
koma	kʰ ɔː m a
kommúnisti	kʰ ɔ mː uː n ɪ s t ɪ
komutími	kʰ ɔː m ʏ tʰ iː m ɪ
kona	kʰ ɔː n a
konar	kʰ ɔː n a r
konráð	kʰ ɔ n r a uː ð
konunglegur	kʰ ɔː n u ŋ k l ɛː ɣ ʏ r
konungsríki	kʰ ɔː n u ŋ k s r iː c ɪ
konur	kʰ ɔː n ʏ r
kopar	kʰ ɔː p a r
kort	kʰ ɔ r̥ t
kosning	kʰ ɔ s t n i ŋ k
koss	kʰ ɔ sː
kosta	kʰ ɔ s t a
krabbamein	kʰ r a pː a m e iː n
krafa	kʰ r aː v a
kraftaverk	kʰ r a f t a v ɛ r̥ k
krakk	kʰ r a h k
krakki	kʰ r a h c ɪ
kreditkort	kʰ r ɛː t ɪ t kʰ ɔ r̥ t
krefja	kʰ r ɛ v j a
krefjast	kʰ r ɛ v j a s t
krem	kʰ r ɛː m
kringumstæður	kʰ r i ŋ k ʏ m s t a iː ð ʏ r
kristinn	kʰ r ɪ s t ɪ nː
kristjana	k r ɪ s t j aː n a
kristni	kʰ r ɪ s t n ɪ
kristí	kʰ r ɪ s t iː
kristín	kʰ r ɪ s t iː n
krjúpa	kʰ r j uː p a
krol	kʰ r ɔː l
kroppa	kʰ r ɔ h p a
kross	kʰ r ɔ sː
krummi	k r̥ ʏ mː ɪ
krydd	kʰ r ɪ tː
krydda	kʰ r ɪ tː a
krækja	kʰ r a iː c a
krít	kʰ r iː t
króm	kʰ r o uː m
króna	kʰ r o u n a
krýna	kʰ r iː n a
kuldi	kʰ ʏ l t ɪ
kunna	kʰ ʏ nː a
